币种,总收益率,年化收益率,最大回撤,总交易次数,胜率,亏损交易数,小盈利(0-50%),中等盈利(50-200%),大盈利(>200%)
$STD,-65.97%,-28.38%,-90.40%,12,58.33%,5,6,1,0
$URO,45.69%,9.90%,-33.93%,9,77.78%,2,7,0,0
5318008,-58.56%,-36.32%,-92.05%,9,77.78%,2,5,2,0
@SBR,0.55%,0.14%,-63.97%,20,70.00%,6,14,0,0
Adrian,335.71%,107.53%,-72.81%,6,83.33%,1,1,4,0
aether,60.95%,48.75%,-57.03%,3,100.00%,0,3,0,0
AGENT,367.82%,47.29%,-53.04%,17,64.71%,6,10,1,0
AGI,-83.88%,-67.70%,-84.94%,4,0.00%,4,0,0,0
ai16z,25.18%,5.79%,-11.16%,9,66.67%,3,6,0,0
AIT,369.88%,47.40%,-59.94%,17,58.82%,7,9,1,0
AI,406.50%,120.85%,-76.00%,10,70.00%,3,2,5,0
ALCH,85.72%,16.79%,-24.02%,10,60.00%,4,6,0,0
ALIEN,-36.37%,-11.83%,-92.77%,9,44.44%,5,2,2,0
alpha,5510.16%,174.50%,-38.11%,16,93.75%,1,12,3,0
APPLE,25.91%,5.95%,-61.52%,11,72.73%,3,8,0,0
arc,272.87%,39.10%,-20.35%,15,86.67%,2,13,0,0
BAT,-86.22%,-46.73%,-91.60%,10,40.00%,6,4,0,0
BETS,-62.00%,-44.43%,-89.41%,5,40.00%,3,2,0,0
BLINK,51.31%,10.94%,-40.27%,12,58.33%,5,7,0,0
BNTY,48.47%,10.43%,-36.05%,22,68.18%,7,15,0,0
BOAI,-42.30%,-29.10%,-70.32%,5,60.00%,2,2,1,0
BONGO,138.89%,24.46%,-28.76%,15,60.00%,6,9,0,0
Bonk,28.76%,6.55%,-7.37%,10,80.00%,2,8,0,0
BREAK,-4.80%,-1.93%,-81.73%,4,25.00%,3,0,1,0
BUCK,12.66%,3.04%,-27.71%,13,53.85%,6,7,0,0
BUDDY,-31.51%,-9.07%,-70.21%,16,50.00%,8,8,0,0
Butthole,233.20%,84.77%,-70.66%,6,66.67%,2,2,2,0
CAT,13.74%,3.29%,-8.83%,11,54.55%,5,6,0,0
CENTS,4.64%,1.14%,-49.97%,12,66.67%,4,8,0,0
CHAINSAW,233.29%,35.44%,-41.64%,18,61.11%,7,10,1,0
Chan,-89.53%,-82.53%,-95.73%,3,33.33%,2,1,0,0
CHILLGUY,-0.07%,-0.02%,-26.12%,9,55.56%,4,5,0,0
daige,137.18%,24.18%,-54.24%,12,75.00%,3,9,0,0
DALMATIAN,-78.50%,-44.64%,-89.18%,7,28.57%,5,2,0,0
DDog,-52.62%,-50.85%,-68.26%,6,66.67%,2,4,0,0
DEBT,-94.52%,-84.02%,-96.81%,2,50.00%,1,1,0,0
degenARC,106.06%,19.90%,-47.46%,19,63.16%,7,11,1,0
DEVIN,-20.47%,-5.60%,-38.02%,13,53.85%,6,7,0,0
dGPU,-1.51%,-1.12%,-57.55%,4,75.00%,1,3,0,0
DOGECAST,75.25%,15.12%,-12.89%,14,92.86%,1,13,0,0
DOGE,45.90%,9.93%,-32.32%,15,66.67%,5,10,0,0
dogwifhat,512.40%,429.47%,-55.28%,3,33.33%,2,0,0,1
DREAM,167.54%,53.47%,-69.19%,10,60.00%,4,5,1,0
DRONES,-68.87%,-25.41%,-73.34%,9,66.67%,3,6,0,0
